iter	Passed	Remaining
0	787	117310
1	787	117310
2	1570	115435
3	1570	115435
4	2351	113637
5	2351	113637
6	2458	87879
7	2567	72906
8	2674	62854
9	2780	55616
10	2886	50147
11	2991	45871
12	3102	42503
13	3214	39740
14	3329	37458
15	3435	35416
16	3535	33587
17	4323	38046
18	4323	38046
19	4428	35979
20	4531	34387
21	5311	37770
22	5419	36223
23	5419	36223
24	6196	38726
25	6196	38726
26	6978	40876
27	6978	40876
28	7086	38976
29	7193	37532
30	7301	36202
31	8095	38212
32	8095	38212
33	8880	39618
34	8991	38296
35	8991	38296
36	9753	39363
37	9753	39363
38	9845	37684
39	9946	36468
40	10046	35325
41	10151	34259
42	10249	33234
43	10354	32281
44	10455	31366
45	11239	32468
46	11239	32468
47	11346	31280
48	12120	32215
49	12224	31345
50	12324	30504
51	12324	30504
52	12427	29401
53	13211	30198
54	13211	30198
55	13316	29110
56	14087	29775
57	14087	29775
58	14861	30054
59	14966	29283
60	15068	28534
61	15068	28534
62	15165	27488
63	15266	26793
64	15363	26118
65	15468	25477
66	15578	24865
67	15680	24260
68	15781	23672
69	15886	23107
70	15990	22558
71	16098	22029
72	16206	21515
73	16314	21014
74	16415	20519
75	16531	20055
76	16634	19586
77	16733	19124
78	16843	18685
79	17622	18978
80	17727	18533
81	17831	18097
82	17831	18097
83	17940	17412
84	18048	17002
85	18833	17218
86	18942	16808
87	18942	16808
88	19044	16134
89	19148	15738
90	19254	15351
91	19356	14969
92	19461	14595
93	20238	14719
94	20348	14348
95	20348	14348
96	20449	13719
97	20556	13361
98	21333	13432
99	21433	13069
100	21536	12714
101	21536	12714
102	21642	12109
103	21753	11772
104	22533	11790
105	22637	11448
106	22745	11114
107	22745	11114
108	22857	10530
109	22994	10219
110	23104	9901
111	23211	9587
112	23322	9278
113	23421	8969
114	23521	8665
115	24310	8609
116	24429	8311
117	24542	8014
118	24650	7718
119	24650	7718
120	24753	7178
121	25547	7082
122	25664	6793
123	25664	6793
124	25778	6256
125	25890	5974
126	25999	5695
127	26104	5418
128	26208	5143
129	26313	4872
130	26417	4604
131	26528	4340
132	26645	4080
133	27429	3918
134	27429	3918
135	27540	3412
136	28320	3229
137	28320	3229
138	28433	2719
139	29211	2518
140	29211	2518
141	29317	2004
142	29418	1745
143	30196	1522
144	30196	1522
145	30300	1010
146	30405	753
147	30509	500
148	30616	248
149	30723	0
