iter	Logloss
0	0.6660574372
1	0.6444431308
2	0.6267568538
3	0.6182805118
4	0.6160198577
5	0.6092317829
6	0.6026497857
7	0.597122238
8	0.5921721912
9	0.590407289
10	0.5831182678
11	0.5814932119
12	0.577991191
13	0.5766770733
14	0.5758455293
15	0.5746355736
16	0.5716917751
17	0.5692795906
18	0.5682493112
19	0.5672848055
20	0.5666449313
21	0.5643565765
22	0.5638364873
23	0.5630816269
24	0.5625628892
25	0.5603025417
26	0.5587016443
27	0.5582188726
28	0.5577301819
29	0.5571411565
30	0.5567949152
31	0.5550196187
32	0.5545761485
33	0.5533222371
34	0.5530278143
35	0.5517772058
36	0.551493121
37	0.5510050789
38	0.5507291901
39	0.5504542729
40	0.5501520107
41	0.5498051744
42	0.5486827359
43	0.5483686417
44	0.5480682291
45	0.5478337836
46	0.5475427366
47	0.5471999262
48	0.5469574979
49	0.5467880053
50	0.5464944313
51	0.5463038605
52	0.5460682737
53	0.5457814061
54	0.5455812358
55	0.5452381431
56	0.5450673453
57	0.5447776506
58	0.54454224
59	0.5442459435
60	0.5440657994
61	0.5439213644
62	0.5438135759
63	0.5434851305
64	0.5433238469
65	0.542439748
66	0.5422277127
67	0.5418848135
68	0.5409120115
69	0.5401418707
70	0.5399933109
71	0.5397908908
72	0.5395563584
73	0.5394121212
74	0.5392486202
75	0.5390858789
76	0.5388699529
77	0.5386582022
78	0.5385087299
79	0.5382828417
80	0.538104144
81	0.5380542413
82	0.5378506407
83	0.5377831231
84	0.5376735662
85	0.5375259971
86	0.5372878183
87	0.5370982621
88	0.5369917834
89	0.5368657196
90	0.5366745059
91	0.5364325624
92	0.5358339996
93	0.5356510466
94	0.5354745928
95	0.5354221044
96	0.5353012603
97	0.53519926
98	0.5351148704
99	0.5350278068
100	0.5349029078
101	0.5347610291
102	0.5346643851
103	0.5345610455
104	0.5344969901
105	0.5343483296
106	0.5342419217
107	0.5341057789
108	0.5340203899
109	0.5339110137
110	0.5336921085
111	0.533574947
112	0.533503243
113	0.5334326455
114	0.5333199367
115	0.5332116336
116	0.5330356474
117	0.5329105339
118	0.5327567969
119	0.5326581498
120	0.53252547
121	0.5324345382
122	0.5323142995
123	0.5321270224
124	0.5319987403
125	0.5318986482
126	0.5317219642
127	0.5315964874
128	0.5314659688
129	0.5313667022
130	0.5312115037
131	0.5311113103
132	0.53106089
133	0.5305189935
134	0.5304578741
135	0.5303399473
136	0.5298895402
137	0.5298143773
138	0.5292934699
139	0.5291263481
140	0.5290172025
141	0.5289751722
142	0.5288225269
143	0.5286410457
144	0.5285633809
145	0.5283886598
146	0.5282642061
147	0.5281312049
148	0.5280043635
149	0.5279279045
