iter	Passed	Remaining
0	9	1403
1	16	1212
2	21	1051
3	26	973
4	33	968
5	33	968
6	36	867
7	42	857
8	42	857
9	48	856
10	53	832
11	64	889
12	68	847
13	75	852
14	80	835
15	80	835
16	84	803
17	88	777
18	98	805
19	98	805
20	102	779
21	109	779
22	114	766
23	121	768
24	128	762
25	133	751
26	136	732
27	140	712
28	143	693
29	146	675
30	150	661
31	164	692
32	170	686
33	173	669
34	186	691
35	193	688
36	198	679
37	204	672
38	207	657
39	210	643
40	215	633
41	219	623
42	222	609
43	225	596
44	227	583
45	233	577
46	236	565
47	238	553
48	241	541
49	244	531
50	248	522
51	252	515
52	255	505
53	258	497
54	261	486
55	266	481
56	269	472
57	271	463
58	274	454
59	277	446
60	282	440
61	285	432
62	288	426
63	294	421
64	300	418
65	303	411
66	309	407
67	320	410
68	330	411
69	336	407
70	347	410
71	353	405
72	358	399
73	367	398
74	372	393
75	375	386
76	379	379
77	383	373
78	388	368
79	393	362
80	398	356
81	405	353
82	409	347
83	414	342
84	419	336
85	426	333
86	431	327
87	435	321
88	442	317
89	446	311
90	449	304
91	452	298
92	456	292
93	467	290
94	467	290
95	472	280
96	481	277
97	484	271
98	489	265
99	493	259
100	499	254
101	505	250
102	505	250
103	517	243
104	524	238
105	528	232
106	532	226
107	537	221
108	541	215
109	545	209
110	545	209
111	549	198
112	552	192
113	558	187
114	562	182
115	565	176
116	572	171
117	575	165
118	578	160
119	581	154
120	584	148
121	589	143
122	592	138
123	595	132
124	598	126
125	601	121
126	605	116
127	608	110
128	612	105
129	614	99
130	617	94
131	621	89
132	621	89
133	624	79
134	627	74
135	630	68
136	633	63
137	639	59
138	642	53
139	645	48
140	651	44
141	655	39
142	657	34
143	660	29
144	664	24
145	669	19
146	672	14
147	674	9
148	676	4
149	680	0
